epoch: 1, lr_model: 3.00e-04, lr_wav2vec: 5.00e-05 - train loss: 7.42e-01 - valid loss: 4.04e-01, valid CER: 9.75, valid WER: 32.96
epoch: 2, lr_model: 3.00e-04, lr_wav2vec: 5.00e-05 - train loss: 3.97e-01 - valid loss: 3.08e-01, valid CER: 7.83, valid WER: 26.50
epoch: 3, lr_model: 3.00e-04, lr_wav2vec: 5.00e-05 - train loss: 3.26e-01 - valid loss: 2.73e-01, valid CER: 6.85, valid WER: 23.34
epoch: 4, lr_model: 3.00e-04, lr_wav2vec: 5.00e-05 - train loss: 2.85e-01 - valid loss: 2.49e-01, valid CER: 6.21, valid WER: 21.08
epoch: 5, lr_model: 3.00e-04, lr_wav2vec: 5.00e-05 - train loss: 2.57e-01 - valid loss: 2.32e-01, valid CER: 5.79, valid WER: 19.60
epoch: 6, lr_model: 3.00e-04, lr_wav2vec: 5.00e-05 - train loss: 2.35e-01 - valid loss: 2.22e-01, valid CER: 5.59, valid WER: 18.79
epoch: 7, lr_model: 3.00e-04, lr_wav2vec: 5.00e-05 - train loss: 2.18e-01 - valid loss: 2.15e-01, valid CER: 5.27, valid WER: 17.82
epoch: 8, lr_model: 3.00e-04, lr_wav2vec: 5.00e-05 - train loss: 2.03e-01 - valid loss: 2.07e-01, valid CER: 5.04, valid WER: 16.87
epoch: 9, lr_model: 3.00e-04, lr_wav2vec: 5.00e-05 - train loss: 1.91e-01 - valid loss: 2.03e-01, valid CER: 4.86, valid WER: 16.37
epoch: 10, lr_model: 3.00e-04, lr_wav2vec: 5.00e-05 - train loss: 1.79e-01 - valid loss: 1.98e-01, valid CER: 4.73, valid WER: 15.91
epoch: 11, lr_model: 3.00e-04, lr_wav2vec: 5.00e-05 - train loss: 1.70e-01 - valid loss: 1.95e-01, valid CER: 4.62, valid WER: 15.49
epoch: 12, lr_model: 3.00e-04, lr_wav2vec: 5.00e-05 - train loss: 1.62e-01 - valid loss: 1.93e-01, valid CER: 4.51, valid WER: 15.12
epoch: 13, lr_model: 3.00e-04, lr_wav2vec: 5.00e-05 - train loss: 1.54e-01 - valid loss: 1.94e-01, valid CER: 4.39, valid WER: 14.69
epoch: 14, lr_model: 1.50e-04, lr_wav2vec: 3.50e-05 - train loss: 1.38e-01 - valid loss: 1.85e-01, valid CER: 4.21, valid WER: 14.06
epoch: 15, lr_model: 1.50e-04, lr_wav2vec: 3.50e-05 - train loss: 1.30e-01 - valid loss: 1.88e-01, valid CER: 4.15, valid WER: 13.85
epoch: 16, lr_model: 7.50e-05, lr_wav2vec: 2.45e-05 - train loss: 1.22e-01 - valid loss: 1.83e-01, valid CER: 4.04, valid WER: 13.34
epoch: 17, lr_model: 7.50e-05, lr_wav2vec: 2.45e-05 - train loss: 1.17e-01 - valid loss: 1.82e-01, valid CER: 3.96, valid WER: 13.10
epoch: 18, lr_model: 7.50e-05, lr_wav2vec: 2.45e-05 - train loss: 1.13e-01 - valid loss: 1.80e-01, valid CER: 3.95, valid WER: 13.09
epoch: 19, lr_model: 7.50e-05, lr_wav2vec: 2.45e-05 - train loss: 1.11e-01 - valid loss: 1.83e-01, valid CER: 3.92, valid WER: 13.00
epoch: 20, lr_model: 3.75e-05, lr_wav2vec: 1.71e-05 - train loss: 1.05e-01 - valid loss: 1.80e-01, valid CER: 3.83, valid WER: 12.64
epoch: 21, lr_model: 3.75e-05, lr_wav2vec: 1.71e-05 - train loss: 1.02e-01 - valid loss: 1.79e-01, valid CER: 3.82, valid WER: 12.60
epoch: 22, lr_model: 3.75e-05, lr_wav2vec: 1.71e-05 - train loss: 9.96e-02 - valid loss: 1.80e-01, valid CER: 3.82, valid WER: 12.63
epoch: 23, lr_model: 1.87e-05, lr_wav2vec: 1.20e-05 - train loss: 9.61e-02 - valid loss: 1.81e-01, valid CER: 3.77, valid WER: 12.40
epoch: 24, lr_model: 9.37e-06, lr_wav2vec: 8.40e-06 - train loss: 9.38e-02 - valid loss: 1.80e-01, valid CER: 3.77, valid WER: 12.39
epoch: 25, lr_model: 4.69e-06, lr_wav2vec: 5.88e-06 - train loss: 9.19e-02 - valid loss: 1.79e-01, valid CER: 3.74, valid WER: 12.39
epoch: 26, lr_model: 4.69e-06, lr_wav2vec: 5.88e-06 - train loss: 9.17e-02 - valid loss: 1.77e-01, valid CER: 3.73, valid WER: 12.27
epoch: 27, lr_model: 4.69e-06, lr_wav2vec: 5.88e-06 - train loss: 8.98e-02 - valid loss: 1.78e-01, valid CER: 3.71, valid WER: 12.28
epoch: 28, lr_model: 2.34e-06, lr_wav2vec: 4.12e-06 - train loss: 8.96e-02 - valid loss: 1.79e-01, valid CER: 3.67, valid WER: 12.12
epoch: 29, lr_model: 1.17e-06, lr_wav2vec: 2.88e-06 - train loss: 8.91e-02 - valid loss: 1.80e-01, valid CER: 3.67, valid WER: 12.07
epoch: 30, lr_model: 5.86e-07, lr_wav2vec: 2.02e-06 - train loss: 8.82e-02 - valid loss: 1.79e-01, valid CER: 3.67, valid WER: 12.03
Epoch loaded: 30 - test loss: 1.94e-01, test CER: 3.68, test WER: 12.39
Epoch loaded: 30 - test loss: 5.48e-01, test CER: 10.13, test WER: 26.98
