steps: 18500, lr: 5.92e-04, avg_loss: 3.81, run_time: 1.01e+02
steps: 23000, lr: 7.36e-04, avg_loss: 3.75, run_time: 79.85
steps: 19000, lr: 6.08e-04, avg_loss: 3.81, run_time: 1.02e+02
steps: 23500, lr: 7.52e-04, avg_loss: 3.75, run_time: 80.20
steps: 24000, lr: 7.68e-04, avg_loss: 3.75, run_time: 80.02
steps: 19500, lr: 6.24e-04, avg_loss: 3.76, run_time: 1.29e+02
steps: 24500, lr: 7.84e-04, avg_loss: 3.74, run_time: 1.02e+02
steps: 20000, lr: 6.40e-04, avg_loss: 3.76, run_time: 1.01e+02
steps: 25000, lr: 8.00e-04, avg_loss: 3.73, run_time: 80.10
steps: 20500, lr: 6.56e-04, avg_loss: 3.77, run_time: 1.01e+02
steps: 25500, lr: 7.92e-04, avg_loss: 3.73, run_time: 80.14
steps: 21000, lr: 6.72e-04, avg_loss: 3.77, run_time: 1.01e+02
steps: 26000, lr: 7.84e-04, avg_loss: 3.72, run_time: 80.40
steps: 21500, lr: 6.88e-04, avg_loss: 3.77, run_time: 1.01e+02
steps: 26500, lr: 7.77e-04, avg_loss: 3.72, run_time: 80.00
steps: 27000, lr: 7.70e-04, avg_loss: 3.72, run_time: 80.04
steps: 22000, lr: 7.04e-04, avg_loss: 3.76, run_time: 1.02e+02
steps: 27500, lr: 7.63e-04, avg_loss: 3.72, run_time: 80.57
steps: 22500, lr: 7.20e-04, avg_loss: 3.76, run_time: 1.01e+02
steps: 28000, lr: 7.56e-04, avg_loss: 3.71, run_time: 80.43
steps: 23000, lr: 7.36e-04, avg_loss: 3.75, run_time: 1.01e+02
steps: 28500, lr: 7.49e-04, avg_loss: 3.71, run_time: 80.53
steps: 23500, lr: 7.52e-04, avg_loss: 3.75, run_time: 1.02e+02
steps: 29000, lr: 7.43e-04, avg_loss: 3.76, run_time: 1.03e+02
steps: 24000, lr: 7.68e-04, avg_loss: 3.75, run_time: 1.02e+02
steps: 29500, lr: 7.36e-04, avg_loss: 3.66, run_time: 80.09
steps: 24500, lr: 7.84e-04, avg_loss: 3.74, run_time: 1.29e+02
steps: 25000, lr: 8.00e-04, avg_loss: 3.73, run_time: 1.01e+02
steps: 25500, lr: 7.92e-04, avg_loss: 3.73, run_time: 1.02e+02
steps: 26000, lr: 7.84e-04, avg_loss: 3.72, run_time: 1.02e+02
steps: 26500, lr: 7.77e-04, avg_loss: 3.72, run_time: 1.02e+02
steps: 27000, lr: 7.70e-04, avg_loss: 3.72, run_time: 1.02e+02
steps: 27500, lr: 7.63e-04, avg_loss: 3.72, run_time: 1.02e+02
steps: 28000, lr: 7.56e-04, avg_loss: 3.72, run_time: 1.02e+02
steps: 28500, lr: 7.49e-04, avg_loss: 3.71, run_time: 1.02e+02
steps: 29000, lr: 7.43e-04, avg_loss: 3.72, run_time: 1.29e+02
steps: 29500, lr: 7.36e-04, avg_loss: 3.66, run_time: 1.02e+02
steps: 30000, lr: 7.30e-04, avg_loss: 3.65, run_time: 1.02e+02
steps: 30500, lr: 7.24e-04, avg_loss: 3.65, run_time: 1.01e+02
steps: 31000, lr: 7.18e-04, avg_loss: 3.65, run_time: 1.02e+02
steps: 31500, lr: 7.13e-04, avg_loss: 3.66, run_time: 1.02e+02
steps: 32000, lr: 7.07e-04, avg_loss: 3.65, run_time: 1.02e+02
steps: 32500, lr: 7.02e-04, avg_loss: 3.65, run_time: 1.02e+02
steps: 33000, lr: 6.96e-04, avg_loss: 3.65, run_time: 1.02e+02
steps: 33500, lr: 6.91e-04, avg_loss: 3.65, run_time: 1.02e+02
steps: 34000, lr: 6.86e-04, avg_loss: 3.60, run_time: 1.29e+02
steps: 34500, lr: 6.81e-04, avg_loss: 3.62, run_time: 1.01e+02
steps: 35000, lr: 6.76e-04, avg_loss: 3.62, run_time: 1.02e+02
steps: 35500, lr: 6.71e-04, avg_loss: 3.61, run_time: 1.01e+02
steps: 36000, lr: 6.67e-04, avg_loss: 3.61, run_time: 1.02e+02
steps: 36500, lr: 6.62e-04, avg_loss: 3.62, run_time: 1.02e+02
steps: 37000, lr: 6.58e-04, avg_loss: 3.61, run_time: 1.02e+02
steps: 37500, lr: 6.53e-04, avg_loss: 3.61, run_time: 1.02e+02
steps: 38000, lr: 6.49e-04, avg_loss: 3.61, run_time: 1.02e+02
steps: 38500, lr: 6.45e-04, avg_loss: 3.61, run_time: 1.02e+02
steps: 39000, lr: 6.41e-04, avg_loss: 3.60, run_time: 1.29e+02
steps: 39500, lr: 6.36e-04, avg_loss: 3.59, run_time: 1.02e+02
steps: 40000, lr: 6.32e-04, avg_loss: 3.59, run_time: 1.02e+02
steps: 40500, lr: 6.29e-04, avg_loss: 3.59, run_time: 1.02e+02
steps: 41000, lr: 6.25e-04, avg_loss: 3.59, run_time: 1.02e+02
steps: 41500, lr: 6.21e-04, avg_loss: 3.59, run_time: 1.02e+02
steps: 42000, lr: 6.17e-04, avg_loss: 3.59, run_time: 1.02e+02
steps: 42500, lr: 6.14e-04, avg_loss: 3.58, run_time: 1.01e+02
steps: 43000, lr: 6.10e-04, avg_loss: 3.58, run_time: 1.01e+02
steps: 43500, lr: 6.06e-04, avg_loss: 3.61, run_time: 1.29e+02
steps: 44000, lr: 6.03e-04, avg_loss: 3.56, run_time: 1.02e+02
steps: 44500, lr: 6.00e-04, avg_loss: 3.56, run_time: 1.02e+02
steps: 45000, lr: 5.96e-04, avg_loss: 3.56, run_time: 1.02e+02
steps: 45500, lr: 5.93e-04, avg_loss: 3.55, run_time: 1.02e+02
steps: 46000, lr: 5.90e-04, avg_loss: 3.55, run_time: 1.02e+02
steps: 46500, lr: 5.87e-04, avg_loss: 3.55, run_time: 1.02e+02
steps: 47000, lr: 5.83e-04, avg_loss: 3.55, run_time: 1.02e+02
steps: 47500, lr: 5.80e-04, avg_loss: 3.55, run_time: 1.02e+02
steps: 48000, lr: 5.77e-04, avg_loss: 3.55, run_time: 1.03e+02
steps: 48500, lr: 5.74e-04, avg_loss: 3.52, run_time: 1.32e+02
steps: 49000, lr: 5.71e-04, avg_loss: 3.53, run_time: 1.03e+02
