steps: 39500, lr: 6.36e-04, avg_loss: 3.47, run_time: 1.62e+02
steps: 40000, lr: 6.32e-04, avg_loss: 3.47, run_time: 1.59e+02
steps: 40500, lr: 6.29e-04, avg_loss: 3.47, run_time: 1.59e+02
steps: 41000, lr: 6.25e-04, avg_loss: 3.46, run_time: 1.60e+02
steps: 41500, lr: 6.21e-04, avg_loss: 3.46, run_time: 1.59e+02
steps: 42000, lr: 6.17e-04, avg_loss: 3.46, run_time: 1.59e+02
steps: 42500, lr: 6.14e-04, avg_loss: 3.46, run_time: 1.60e+02
steps: 43000, lr: 6.10e-04, avg_loss: 3.46, run_time: 1.60e+02
steps: 43500, lr: 6.06e-04, avg_loss: 3.48, run_time: 2.03e+02
steps: 44000, lr: 6.03e-04, avg_loss: 3.42, run_time: 1.59e+02
steps: 44500, lr: 6.00e-04, avg_loss: 3.44, run_time: 1.59e+02
steps: 45000, lr: 5.96e-04, avg_loss: 3.43, run_time: 1.59e+02
steps: 45500, lr: 5.93e-04, avg_loss: 3.43, run_time: 1.59e+02
steps: 46000, lr: 5.90e-04, avg_loss: 3.43, run_time: 1.59e+02
steps: 46500, lr: 5.87e-04, avg_loss: 3.43, run_time: 1.59e+02
steps: 47000, lr: 5.83e-04, avg_loss: 3.43, run_time: 1.59e+02
steps: 47500, lr: 5.80e-04, avg_loss: 3.43, run_time: 1.59e+02
steps: 48000, lr: 5.77e-04, avg_loss: 3.43, run_time: 1.59e+02
steps: 48500, lr: 5.74e-04, avg_loss: 3.40, run_time: 2.04e+02
steps: 49000, lr: 5.71e-04, avg_loss: 3.41, run_time: 1.59e+02
steps: 49500, lr: 5.69e-04, avg_loss: 3.41, run_time: 1.59e+02
steps: 50000, lr: 5.66e-04, avg_loss: 3.41, run_time: 1.59e+02
steps: 50500, lr: 5.63e-04, avg_loss: 3.41, run_time: 1.59e+02
steps: 51000, lr: 5.60e-04, avg_loss: 3.41, run_time: 1.59e+02
steps: 51500, lr: 5.57e-04, avg_loss: 3.41, run_time: 1.59e+02
steps: 52000, lr: 5.55e-04, avg_loss: 3.41, run_time: 1.59e+02
steps: 52500, lr: 5.52e-04, avg_loss: 3.41, run_time: 1.59e+02
steps: 53000, lr: 5.49e-04, avg_loss: 3.41, run_time: 1.59e+02
steps: 53500, lr: 5.47e-04, avg_loss: 3.39, run_time: 2.29e+02
