steps: 0, lr: 8.00e-04, avg_loss: 0.00e+00
steps: 12500, lr: 4.00e-04, avg_loss: 3.85, run_time: 4.04e-01
steps: 13000, lr: 4.16e-04, avg_loss: 3.83, run_time: 1.02e+03
steps: 13000, lr: 4.16e-04, avg_loss: 3.83, run_time: 4.82e-01
steps: 13000, lr: 4.16e-04, avg_loss: 3.83, run_time: 3.98e-01
steps: 13500, lr: 4.32e-04, avg_loss: 3.82, run_time: 6.19e+02
steps: 13500, lr: 4.32e-04, avg_loss: 3.82, run_time: 4.59e-01
steps: 13500, lr: 4.32e-04, avg_loss: 3.82, run_time: 4.15e-01
steps: 14000, lr: 4.48e-04, avg_loss: 3.81, run_time: 7.11e+02
steps: 14000, lr: 4.48e-04, avg_loss: 3.81, run_time: 4.53e-01
steps: 14000, lr: 4.48e-04, avg_loss: 3.81, run_time: 4.13e-01
steps: 14500, lr: 4.64e-04, avg_loss: 3.81, run_time: 1.26e+03
steps: 14500, lr: 4.64e-04, avg_loss: 3.81, run_time: 4.35e-01
steps: 14500, lr: 4.64e-04, avg_loss: 3.81, run_time: 4.16e-01
steps: 15000, lr: 4.80e-04, avg_loss: 3.80, run_time: 6.18e+02
steps: 15000, lr: 4.80e-04, avg_loss: 3.80, run_time: 4.64e-01
steps: 15000, lr: 4.80e-04, avg_loss: 3.80, run_time: 4.11e-01
steps: 15500, lr: 4.96e-04, avg_loss: 3.78, run_time: 7.19e+02
steps: 15500, lr: 4.96e-04, avg_loss: 3.78, run_time: 4.96e-01
steps: 15500, lr: 4.96e-04, avg_loss: 3.78, run_time: 4.04e-01
steps: 16000, lr: 5.12e-04, avg_loss: 3.75, run_time: 6.95e+02
steps: 16000, lr: 5.12e-04, avg_loss: 3.75, run_time: 4.24e-01
steps: 16000, lr: 5.12e-04, avg_loss: 3.75, run_time: 4.09e-01
steps: 16500, lr: 5.28e-04, avg_loss: 3.76, run_time: 6.19e+02
steps: 16500, lr: 5.28e-04, avg_loss: 3.76, run_time: 4.39e-01
steps: 16500, lr: 5.28e-04, avg_loss: 3.76, run_time: 4.17e-01
steps: 17000, lr: 5.44e-04, avg_loss: 3.74, run_time: 6.98e+02
steps: 17000, lr: 5.44e-04, avg_loss: 3.74, run_time: 4.44e-01
steps: 17000, lr: 5.44e-04, avg_loss: 3.74, run_time: 4.03e-01
steps: 17500, lr: 5.60e-04, avg_loss: 3.75, run_time: 7.16e+02
steps: 17500, lr: 5.60e-04, avg_loss: 3.75, run_time: 4.20e-01
steps: 17500, lr: 5.60e-04, avg_loss: 3.75, run_time: 4.09e-01
steps: 18000, lr: 5.76e-04, avg_loss: 3.73, run_time: 6.20e+02
steps: 18000, lr: 5.76e-04, avg_loss: 3.73, run_time: 1.46e+02
steps: 18000, lr: 5.76e-04, avg_loss: 3.73, run_time: 4.06e-01
steps: 18500, lr: 5.92e-04, avg_loss: 3.72, run_time: 7.03e+02
steps: 18500, lr: 5.92e-04, avg_loss: 3.72, run_time: 9.92e-01
steps: 18500, lr: 5.92e-04, avg_loss: 3.72, run_time: 4.03e-01
steps: 19000, lr: 6.08e-04, avg_loss: 3.75, run_time: 7.15e+02
steps: 19000, lr: 6.08e-04, avg_loss: 3.75, run_time: 4.18e-01
steps: 19000, lr: 6.08e-04, avg_loss: 3.75, run_time: 4.06e-01
steps: 19500, lr: 6.24e-04, avg_loss: 3.71, run_time: 6.19e+02
steps: 19500, lr: 6.24e-04, avg_loss: 3.71, run_time: 11.76
steps: 19500, lr: 6.24e-04, avg_loss: 3.71, run_time: 4.16e-01
steps: 20000, lr: 6.40e-04, avg_loss: 3.69, run_time: 7.16e+02
steps: 20000, lr: 6.40e-04, avg_loss: 3.69, run_time: 4.43e-01
steps: 20000, lr: 6.40e-04, avg_loss: 3.69, run_time: 4.04e-01
steps: 20500, lr: 6.56e-04, avg_loss: 3.66, run_time: 6.99e+02
steps: 20500, lr: 6.56e-04, avg_loss: 3.67, run_time: 4.26e-01
steps: 20500, lr: 6.56e-04, avg_loss: 3.68, run_time: 4.04e-01
steps: 21000, lr: 6.72e-04, avg_loss: 3.68, run_time: 6.19e+02
steps: 21000, lr: 6.72e-04, avg_loss: 3.68, run_time: 4.62e-01
steps: 21000, lr: 6.72e-04, avg_loss: 3.68, run_time: 4.06e-01
steps: 21500, lr: 6.88e-04, avg_loss: 3.67, run_time: 6.97e+02
steps: 21500, lr: 6.88e-04, avg_loss: 3.67, run_time: 4.24e-01
steps: 21500, lr: 6.88e-04, avg_loss: 3.67, run_time: 4.11e-01
steps: 22000, lr: 7.04e-04, avg_loss: 3.68, run_time: 6.19e+02
steps: 22000, lr: 7.04e-04, avg_loss: 3.68, run_time: 4.54e-01
